,zip,alltransit_performance_score
276,93614,0.9
277,95426,0.8
278,96091,0.3
279,95973,1.3
280,95335,0.0
281,95335,0.0
282,96107,0.3
283,95713,1.0
284,95912,0.0
285,95220,0.1
286,94014,8.4
287,95613,0.0
288,92324,5.9
289,95310,1.8
290,95932,0.0
291,90040,7.6
292,95427,0.3
293,90221,7.7
294,94520,5.5
295,95965,0.0
296,94597,8.4
297,95228,0.3
298,93212,1.7
299,96021,1.5
300,92879,2.5
301,92118,6.6
302,92882,3.6
303,95076,2.7
304,94925,5.1
305,92626,5.4
306,94931,4.9
307,92679,0.1
308,96022,0.0
309,95311,0.0
310,95204,3.5
311,95615,0.0
312,95428,0.0
313,91723,6.4
314,95358,1.0
315,95531,3.8
316,95934,0.4
317,95312,1.0
318,92021,0.2
319,92325,1.9
320,93432,0.7
321,96106,0.4
322,94525,2.6
323,96103,0.4
324,93546,0.5
325,95313,0.5
326,90201,6.8
327,90232,8.8
328,95014,5.4
329,93615,3.3
330,95503,2.1
331,93254,0.0
332,90630,4.2
333,94014,8.4
334,92629,3.4
335,94526,1.9
336,96101,0.0
337,93522,0.3
338,95017,2.5
339,95616,6.4
340,95003,2.3
341,94574,0.8
342,90250,6.9
343,93215,3.7
344,93618,1.0
345,95315,2.0
346,96122,0.6
347,92014,5.1
348,93953,2.0
349,93616,0.0
350,93940,5.4
351,95356,0.8
352,95316,1.9
353,93224,0.5
354,91916,1.1
355,92239,0.8
356,92241,3.1
357,92240,5.1
358,92260,0.3
359,92274,0.0
360,93551,0.0
361,94528,0.0
362,95363,0.7
363,91765,3.8
364,95619,2.0
365,94929,0.0
366,93618,4.8
367,94505,0.2
368,95620,0.9
369,93514,0.0
370,95935,0.3
371,93517,0.0
372,96145,3.7
373,95223,0.5
374,96023,0.0
375,93620,1.2
376,93620,0.6
377,96024,0.6
378,90241,6.9
379,95936,0.0
380,96109,0.4
381,95699,0.6
382,91010,7.2
383,94568,5.3
384,93218,0.5
385,95937,0.5
386,96025,2.6
387,95938,0.7
388,93268,0.8
389,95714,0.4
390,96110,0.2
391,93219,2.7
392,95127,2.6
393,92544,2.6
394,90022,8.7
395,95659,0.0
396,95361,0.4
397,93706,0.8
398,93647,1.5
399,94303,6.6
400,91107,8.7
401,93257,3.8
402,95971,1.2
403,90221,6.9
404,94805,3.8
405,91775,6.4
406,96137,0.5
407,95370,3.0
408,93274,2.5
409,92880,2.1
410,90604,4.1
411,96094,0.6
412,93203,0.8
413,93401,0.0
414,93524,0.3
415,92020,6.9
416,92243,0.4
417,94530,8.5
418,94530,1.6
419,95762,0.7
420,95442,2.7
421,94019,2.4
422,93532,0.0
423,95939,0.0
424,95624,3.9
425,94478,1.1
426,95625,2.0
