zip,houseprice,ces,county,pctbytransit,crime,testscore
93206,141980,45.85,Kern County,0.009237233,555.1,2453.991667
93210,184503,33.57,Fresno County,0.012971314,574.5,2464.775
93215,213521,43.484,Kern County,0.009237233,555.1,2486.84
93221,232357,25.56333333,Tulare County,0.00747889,348,2467.4
93230,238279,37.41,Kings County,0.009255017,500.7,2412.6
93234,158225,40.015,Fresno County,0.012971314,574.5,2425.878571
93242,188761,40.42,Fresno County,0.012971314,574.5,2463.292857
93245,253959,36.86666667,Kings County,0.009255017,500.7,2514.3
93249,179631,48.63,Kern County,0.009237233,555.1,2487.65
93257,204336,40.31666667,Tulare County,0.00747889,348,2481.525
93280,188982,45.47666667,Kern County,0.009237233,555.1,2557.5
93291,277185,40.80571429,Tulare County,0.00747889,348,2513.5
93292,246818,37.95714286,Tulare County,0.00747889,348,2422.7
93301,190539,47.92333333,Kern County,0.009237233,555.1,2460.25
93304,171330,47.81625,Kern County,0.009237233,555.1,2444.595082
93305,159899,40.03714286,Kern County,0.009237233,555.1,2423.469565
93306,209325,27.66333333,Kern County,0.009237233,555.1,2469.928704
93307,177595,57.65923077,Kern County,0.009237233,555.1,2418
93308,208324,41.993,Kern County,0.009237233,555.1,2439.360714
93309,209656,34.8525,Kern County,0.009237233,555.1,2466.948684
93311,303543,18.96428571,Kern County,0.009237233,555.1,2503.303571
93312,298105,18.23555556,Kern County,0.009237233,555.1,2482.4
93313,255339,41.75,Kern County,0.009237233,555.1,2482.553846
93422,530521,8.69,San Luis Obispo County,0.016282172,297.6,2478.1
93454,370196,22.96444444,Santa Barbara County,0.034369278,340.3,2469.6
93458,360238,23.87666667,Santa Barbara County,0.034369278,340.3,2497.1
93510,600490,14.515,Los Angeles County,0.065418525,583.4,2413.8
93516,85308,25.76,Kern County,0.009237233,555.1,2555.4
93534,245119,28.9225,Los Angeles County,0.065418525,583.4,2437.9
93535,255652,26.198125,Los Angeles County,0.065418525,583.4,2382.3
93543,281843,22.99,Los Angeles County,0.065418525,583.4,2380
93550,274685,22.65066667,Los Angeles County,0.065418525,583.4,2411.9
93551,399881,16.96454545,Los Angeles County,0.065418525,583.4,2451.5
93591,220295,21.605,Los Angeles County,0.065418525,583.4,2545.2
93608,154853,48.18,Fresno County,0.012971314,574.5,2455.683333
93609,209919,47.9,Fresno County,0.012971314,574.5,2499.723077
93611,341196,23.156,Fresno County,0.012971314,574.5,2538.0975
93612,240893,40.18142857,Fresno County,0.012971314,574.5,2497.297222
93615,167155,40.93,Tulare County,0.00747889,348,2464
93616,213003,55.81,Fresno County,0.012971314,574.5,2481.125
93618,226245,45.058,Tulare County,0.00747889,348,2479.866667
93619,432904,12.35777778,Fresno County,0.012971314,574.5,2543.378125
93622,209062,42.29,Fresno County,0.012971314,574.5,2506.678571
93625,273428,51.33,Fresno County,0.012971314,574.5,2512.7
93630,250438,44.9,Fresno County,0.012971314,574.5,2485.3225
93631,284942,41.83,Fresno County,0.012971314,574.5,2529.1575
93637,252947,46.244,Madera County,0.003150268,565.8,2466.05
93638,211428,42.39,Madera County,0.003150268,565.8,2466.8
93640,196251,55.875,Fresno County,0.012971314,574.5,2477.781818
93646,179016,45.71,Fresno County,0.012971314,574.5,2480.534615
93648,191002,68.98,Fresno County,0.012971314,574.5,2457.723077
93650,185612,60.38,Fresno County,0.012971314,574.5,2476.34375
93654,235798,45.87833333,Fresno County,0.012971314,574.5,2499.155405
93656,205151,44.34,Fresno County,0.012971314,574.5,2479.119231
93657,264078,32.725,Fresno County,0.012971314,574.5,2494.258511
93662,225934,54.96333333,Fresno County,0.012971314,574.5,2468.204545
93701,150036,68.97,Fresno County,0.012971314,574.5,2468.3975
93702,158884,65.18125,Fresno County,0.012971314,574.5,2460.232857
93703,189433,53.3525,Fresno County,0.012971314,574.5,2468.044231
93704,251502,35.60875,Fresno County,0.012971314,574.5,2485.988462
93705,202343,47.43,Fresno County,0.012971314,574.5,2445.025714
93706,154256,73.45181818,Fresno County,0.012971314,574.5,2462.6375
93710,270419,37.312,Fresno County,0.012971314,574.5,2471.921053
93711,357828,22.39428571,Fresno County,0.012971314,574.5,2496.102778
93720,341193,20.41666667,Fresno County,0.012971314,574.5,2532.470238
93721,143922,72.74666667,Fresno County,0.012971314,574.5,2429.682609
93722,257612,43.30769231,Fresno County,0.012971314,574.5,2476.962766
93723,356949,41.00333333,Fresno County,0.012971314,574.5,2473.819444
93725,205522,72.77,Fresno County,0.012971314,574.5,2467.123077
93726,212477,44.08888889,Fresno County,0.012971314,574.5,2464.337838
93727,273995,43.84,Fresno County,0.012971314,574.5,2471.742063
93728,186774,57.5575,Fresno County,0.012971314,574.5,2420.0125
93730,482072,10.98,Fresno County,0.012971314,574.5,2606.578571
93905,417249,26.82727273,Monterey County,0.019735509,406.9,2453.9
93906,456203,24.623,Monterey County,0.019735509,406.9,2450.75
93907,592004,29.516,Monterey County,0.019735509,406.9,2474.5
93940,816897,7.791428571,Monterey County,0.019735509,406.9,2485.7
93950,968445,3.198333333,Monterey County,0.019735509,406.9,2535.1
94015,1064529,21.33181818,San Mateo County,0.100877193,249.5,2491.65
94044,1077105,9.4775,San Mateo County,0.100877193,249.5,2459.4
94061,1630449,13.5,San Mateo County,0.100877193,249.5,2439.2
94066,1125359,20.87,San Mateo County,0.100877193,249.5,2437.5
94107,1198186,20.7675,San Francisco County,0.336164795,728.1,2547.5
94112,1145864,16.43133333,San Francisco County,0.336164795,728.1,2485.4
94116,1450931,9.551428571,San Francisco County,0.336164795,728.1,2505.6
94118,2176429,12.139,San Francisco County,0.336164795,728.1,2528.6
94132,1319671,16.79,San Francisco County,0.336164795,728.1,2501
94305,3237779,8.875,Santa Clara County,0.041395147,308.2,2537.3
94306,2706953,8.545,Santa Clara County,0.041395147,308.2,2567.1
94404,1499629,9.462222222,San Mateo County,0.100877193,249.5,2503.5
94501,998904,25.43071429,Alameda County,0.142358002,601.1,2528.8
94502,946646,9.11,Alameda County,0.142358002,601.1,2565.061111
94505,631069,13.395,Contra Costa County,0.103290324,336.5,2478.25
94506,1895301,2.123333333,Contra Costa County,0.103290324,336.5,2566.420833
94507,1791014,2.175,Contra Costa County,0.103290324,336.5,2556.416667
94509,375862,30.59333333,Contra Costa County,0.103290324,336.5,2443.683
94513,671777,21.703,Contra Costa County,0.103290324,336.5,2509.379762
94517,812378,4.6,Contra Costa County,0.103290324,336.5,2540.966667
94518,639799,12.70666667,Contra Costa County,0.103290324,336.5,2452.480769
94519,538766,17.89333333,Contra Costa County,0.103290324,336.5,2450.475
